Idx,Locality,Industry,Start,Title,Company,Prev Company,Post
pub-caroline-court-17-649-a7,United Kingdom,Commercial Real Estate,June 2011,Senior Surveyor Corporate Occupier Investor Services,Cushman & Wakefield,KPMG,"Senior Surveyor at Cushman and Wakefield in the Corporate Occupier and Investor Services, predominently undertaking Transaction and Account Mangement for clients including Thomson Reuters, Citi, Ernst & Young, Willis and Prudential. Main area of focus is identifying and executing opportunities in line with both business and real estate strategies, such multi re-gears and regional expansion programmes.Additional involvement in Global Business Consultancy service line, including multi service feasability studies, running location assessment projects, and business development.Real estate advisor with KPMG- worked with a range of public and private sector clients on occupier consultancy projects, including cost reduction, asset and portfolio efficiency.Joined Jones Lang LaSalle on the graduate scheme, and remained with the Property Asset Management team 1 year PQE. Focus international investment clients portfolios in City of London, including as RREEF and HansaInvest"
pub-caroline-nelson-23-129-a70,Greater Minneapolis-St. Paul Area,Higher Education,May 2011,Financial Analyst,Thomson Reuters,Deloitte,I am a financial analyst at Thomson Reuters. I have also had internship experiences in tax preparation and wealth management.
pub-cassandra-kow-2a-984-b77,Singapore,Accounting,February 2011,General Manager - Emerging Markets,CPA Australia,Ernst & Young,"More than 18 years of experience in private, public and partnership companies with in-depth regional exposure (China, Korea, Asean and Oceania). Proven track record in sales turnover and projects' milestone achievements."
pub-catarina-casquilho-dias-10-4a7-165,"Lisbon Area, Portugal",Serviços financeiros,March 2012,Trainee,Portugal Telecom,KPMG,"Strong character, objective, proactive and very committed to the goals. Good work capacity and creative."
pub-catherine-chow-21-948-202,"Sydney Area, Australia",Accounting,January 2012,Client Director,Deloitte Australia,PwC,"Catherine is a senior business advisor with deep experience providing tax advisory and compliance, outsourced CFO accounting and wealth management advice to inbound investors establishing business in Australia, local privately owned growth businesses, high net worth individuals and subsidiaries of multinationals, primarily in the consumer industry, retail, technology and property sectors.Catherine has extensive skills in advising on tax effective business structures, business and succession planning, reorganization and divesture, financial management, budgeting and forecasting, financial reporting, transfer pricing, employer obligations, setting up back office finance centres, compliance work and statutory audit requirements."
pub-cecilia-hoyos-ortega-26-a47-687,"Valencia y alrededores, España",Recursos humanos,enero de 2012,Consultora Senior,Deloitte Uruguay,Deloitte,"MSC. in Psychology specialised in Work, Organizational and Personnel Psychology, experienced in recruitment and selection, training, team development, advice on organizational processes and descriptive and inference research. During my professional career and training I have developed many skills not only in the professional field of the Organizational Psychology and Human Resources, but also in the research area, assessing the quality of the work performed. As well as the basic HR skills, I am particularly experienced in self-management, communication, information and time management. I would enhance the continuous personal development, the quality of the interventions, the professional strategy and the professional relationships."
pub-cecilia-monteleone-7-564-429,Argentina,Servicios y tecnología de la información,September 2010,Lider de Organización y Riesgo Operacional,BACS - Banco de Credito y Securitizacion S.A.,Ernst & Young,"Consultora y Auditora de sistemas de Información, destacándome en Procesos de IT, ITIL, e-Security, ERP Integrity, entre otrosLlevando a cabo y liderando las siguientes tareas, entre las que se encuentran:- Implementación del modelo ITIL (Information Technology Infraestructura Library) comprendiendo: Diagnóstico, armado de Plan de Accción, Diseño e implementación del modelo ITIL en base al plan de acción (rediseño de áreas de IT, armado e implementación de normas, políticas y procedimientos, armados de SLA, OLA´S).Revisión de Controles generales de Tecnología Informática y de diferentes sistemas aplicativos, en distintos entornos de procesamiento, lo cual abarca:	Revisión de la Implementación de Software de Control de Acceso evaluando la efectividad de la Instalación de software en los Sistemas de Información; Revisión del desarrollo e implementación de las políticas de seguridad; Seguridad de los sistemas operativos utilizando herramientas para evaluar y determinar la efectividad; Supervisión en tareas de controles generales de tecnología y revisión de aplicaciones; Relevamiento y Auditoría de Sistemas Informáticos; Revisión de aplicaciones.; Generación de Cartas de Control Interno.­Quality AssuranceProject managementIntento de Intrusión a la Infraestructura interna y externaDesarrollo de normas, políticas y procedimientos de seguridad de la InformaciónStandares de seguridad de software de base, sistemas aplicativos, base de datos, etc.Seguridad en sistemas ERP,(SAP, JDEdwards)Elaboración de programas de revisión de la seguridad de la infraestructura tecnológica y comunicaciones.Organización y reingeniería de Procesos.Riesgo Operacional."
pub-celeka-bixa-33-810-a49,South Africa,Marketing and Advertising,June 2010,Account Executive,Gallo Images,PwC,"With experience in Admin, Sales, Marketing and Communication, the sky is the limit for me!I strive to be the best in absolutely everything I do. I am motivated and always eager to learn more. I'm inspired by driven,out of the box thinkers.I'm a taurus and a mother to a man child. I love science in the same manner as the arts, am open minded and have feet firmly on the ground."
pub-ceyda-kuytak-Ã§etin-cpa-13-585-39,"Istanbul, Turkey",Finansal Hizmetler,July 2010,Budgeting and Reporting Specialist,Finans Emeklilik & Hayat A.S.,Ernst & Young,"I graduated from Economics Department in Istanbul University in 2007 with CCPA 3.33 out of 4. During my education I performed vocational training in different sectors.(Finance Department in Marshall Boya, Financial Analysis and Credit Department in Şeker Factoring and Assurance Department in Ernst&Young) I have also graduated from International Trade and European Union Department in Istanbul University.I started my carreer in Assurance Advisory Services in Ernst and Young as an auditor.I worked three years as a Senior in Ernst &Young.In Ernst and Young, I chanced to involve several audit engagaments in various sector. Tourism sector , Automotive sector , Medical Sector , Finance sector are the main sectors that I gained experiences.While working close to Finance department, I had a chance to observe the finance functions of a company then I realized that I want to orient my carrier in finance.I already passed CPA (certificated public accountant) exam, and gain the CPA certificate.I have been working as a Budgeting and Reporing Specialist at Finans Emeklilik ve Hayat A.Ş. (Insurance Sector) since July ,2010.My job responsibilities are as follows;- Preparing Financial Statements monthly and quarterly and reporting to Undersecretariat of Treasury.-Monthly reporting of financial statements prepared in accordance with IFRS to Board of Directors.-Reporting financial statements prepared in accordance with IFRS ,USGAAP and BDDK to Finansbank and NBG Bank.-Being an active role at preparing budget of the Company and report budget and actual comparison to each departments monthly.-Prepare reports to Association of the Insurance and Reinsurance Companies of Turkey.-Prepare Management Reports."
pub-chance-klasek-25-341-744,"Lincoln, Nebraska Area",Accounting,November 2011,Manager of Financial Reporting,Midwest Holding Inc.,KPMG,"Certified Public Accountant with an MBA. Manager of Financial Reporting for Insurance Company in Lincoln, NE. Prior experience with big four accounting firm in audit and a regional firm in tax. Nearly six years of public accounting experience."
pub-chante-rousseau-54-326-57b,"New Orleans, Louisiana",Accounting,2011,Tax Staff,"Ernst & Young, LLP",Ernst & Young,"I am a young college graduate working in the field of public accounting for the past 2 years. My development has been specifically focused in the area of tax, which primarily involves federal and state compliance and reporting for both locally and nationally recognized partnerships and corporations."
pub-charchit-agrawal-4-a33-ba2,"London, United Kingdom",Insurance,June 2012,Reserving and Capital Actuary,MMA Insurance,Ernst & Young,General Insurance actuary striving to gain experience in Personal Lines market.
pub-charles-els-ca-sa-2a-893-873,South Africa,Accounting,January 2012,Financial Controller,SABMiller,KPMG,"I’m a Chartered Accountant South Africa, with international experience (South Africa, Botswana, Cameroon, Dubai, Ethiopia, Uganda, Zambia). Skilled in both Finance and Risk Management, and have in excess of 7 years of Financial Accounting and 3 years Forensic Accounting experience. Assisted clients both locally and internationally, covering all of the major industries and sectors, these include: Telecoms, Financial Services, Retail, FMCG and Mining.Proficient in Finance and Risk Management, supported with a focus on identifying new business opportunities, development of internal controls and the development and mentoring of staff. I am a strategic thinker and a problem solver,focused on building strong and loyal teams that provide an excellent support function to the business.Skills and competenciesCompile, verify, analyse, interpret critical financial date (actual, forecast and budgeted) to all major stakeholders and in multiple currencies;Competent in statutory reporting and tax related tasks;Plan, lead, manage and complete external audits;Coach and mentor staff in both Finance and Risk Management positions;Excellent analytical and process management skills;Sound report writing skills;Strong planning and organisational skills and attention to detail;Strong problem solving abilities and able to think laterally when seeking solutions;Lead and manage: External audits, Fraud and misconduct investigations,Fraud risk assessments.Personal attributesMotivated and career driven;Strong management and leadership skills;Deadline driven;Adapt easily to change;High energy and commitment to tasks;Deliver high quality work;Take ownership and responsibility for tasks at hand;Key QualificationsChartered Accountant South Africa CA(SA)B Com Accounting Honours DegreeB Com Accounting DegreeMember of South African Institute of Chartered Accountants (SAICA)Member of the Institute of Certified Fraud Practitioners (ICFP)"
pub-charles-meechan-5-805-5a9,"London, United Kingdom",Import and Export,February 2012,Senior Consultant,FC Ltd,Ernst & Young,"Over 15 years experience with UK Customs and Excise, working in operational policy and audit, before joining the consultancy profession in 1990. Consultancy employment has included PWC and currently, Ernst & Young."
pub-charles-norman-4-456-209,"Cleveland/Akron, Ohio Area",Information Technology and Services,September 2008,Director IS Operations & Customer Service,Swagelok,KPMG,"Senior leader skilled in creating sustainable business value through IT initiatives, change and transformation. Provides leadership in building cross functional, diverse teams in domestic and international settings with excellent ability to bridge the gap between business and IT. Experienced in both start-up and Fortune 500 environments with industry knowledge in manufacturing, telecommunications and mutual fund sectors."
pub-charlie-miller-12-585-509,Greater Atlanta Area,Information Technology and Services,September 2011,Senior IT Auditor,The Coca-Cola Company,PwC,-SAP ERP System Implementation Reviews-SOX Controls Audits-Financial Services SAS 70 Type II-Data Center SAS 70 Type II and SOC 2 Reviews-Internal Audit
pub-charlotte-cambrook-11-72b-3b,"London, United Kingdom",Nonprofit Organization Management,November 2011,Administrator and PA,Help the Hospices,KPMG,"Extensive experience coordinating busy teams both locally and internationally. Strong skills in overseeing financial processes and project management of key areas of work in both the private and charity sectors.Since 2009 successfully combining full time work with other challenging commitments, most significantly a postgraduate degree and, more recently, the vice-chairman role for a community action group."
pub-charlotte-sÃ¸rrig-zahll-larsen-0-966-360,"Copenhagen Area, Denmark",Lovpraksis,October 2011,Head of Business Development,Lett Lawfirm,Deloitte,"For more than 18 years, I have had the opportunity to work with strong global and national brands within the professional services industry.As head of business development at LETT, my current focus is branding and marketing, internal and external communications, strategy, knowledge sharing, research, sales and proposal processes as well as key account management and CRM.Prior to joining LETT, I was Head of Marketing and Communications at Deloitte - the #1 professional services practice in Denmark and globally. In this role, I lead the brand transformation and communications approach which lead to several Creative Circle, Børsen Bull's Eye and Aurora awards."
pub-chau-nguyen-cisa-cism-iso-27001-la-mba-1b-606-269,Vietnam,Financial Services,July 2010,Manager,IT,KPMG,"IT audit, CISA certificate, member of ISACA associationInformation security, ISO 27001 LA certificate, CISMBanking business process review and improvement, core banking system implementationERP implementation SAP,OracleBusiness development"
pub-cheri-barton-12-217-100,"Charlotte, North Carolina Area",Financial Services,2003,Change Management Executive,Bank of America,KPMG,"Twenty years of consulting and project management experience in banking and manufacturing. Highly motivated, proven leader focused on aligning execution to business strategy."
pub-cherno-alieu-jallow-12-50a-642,Gambia,Accounting,April 2011,Managing Partner,DT Associates - The Gambia,Deloitte,"23 Years in Professional Practice with big 2. KPMG between 1986 - 1998 to Manager Level; and Deloitte & Touche 1998 todate. Director then Partner.Vast experience in Audit, Accounting, Tax and Advisory with clients in the West Africa sub region.Attended numerous inhouse and external training programs. Extensive travel over the years to other countries.Goals to become IFRS expert"
pub-chiedu-kanu-pmp-12-258-634,"Houston, Texas",Management Consulting,December 2011,Mgr/Consultant,His Caring Arms Health Services,Deloitte,"I am a result oriented professional with over 10 years’ combined working experience in IT, strategy and operations and audit (internal/external). I have expertise in project management (IT/Strategy/Operations), process review/ improvement/outsourcing, procurement, software implementation, proposal development, audit management, evaluation and implementation of internal control and investigation. I have worked with organizations within the Finance, Manufacturing, Hospitality, Telecommunication, Energy and Government industries as well as in the Accounting and Consultancy practice. Offer analytical skills backed by strong leadership, communications and team building capabilities, resolving issues, overcoming roadblocks and developing effective work-around solutions to ensure on time and on budget project delivery. I am a Chartered Accountant and a Certified Lawson Procurement Consultant.- Holds a B.Sc Mathematics/Statistics and an Associate Member (ACA) of the Institute of Chartered Accountants of Nigeria, Certified Six Sigma Yellow belt for process improvement and performance efficiency and a Certified Lawson Procurement Consultant.- A trained facilitator whose topics encompass audit, IT and operations. Has also delivered papers at worskhops/conferences within Nigeria."
pub-chris-green-9-34b-3b5,"Harrogate, United Kingdom",Management Consulting,2003,Managing Consultant,PA Consulting,KPMG,"Chris is an experienced change manager who works in complex environments to deliver significant value for his clients. Focused on the education and welfare sector, he leads the Welfare and Skills business for PA, working with public and private sector organisations at Board level."
pub-chris-jordaan-msc-a-b-683,"The Hague Area, Netherlands",Financiële administratie,June 2012,Consultant,Deloitte Consulting,Deloitte,"I am working for Deloitte since 2008. I first started as a Financial Auditor, but as per June 1, 2012 I am working as a Consultant.During my role as a Financial Auditor I gained a lot of financial experience (Auditing & Assurance). Because I wanted to broaden my knowledge I moved to Deloitte Consulting. In my current role I am participating in a broad range of different projects, for instance:- Working Capital Reduction;- Finance Transformation;- Optimizing Supply Chain;- Process Optimization (LEAN);- Cashflow Forecasts."
pub-chris-richard-8-b48-128,"Seattle, Washington",Accounting,July 2006,"Senior Manager, Audit Practice",KPMG LLP,KPMG,"SUMMARYTop-performing accounting and finance professional with progressive career growth and over 12 years of experience with Big Four public accounting firms, including two years working internationally.Consistently proven successful in a fast-paced environment and recognized for excellent technical, supervisory, project management, and client service skills."
pub-chris-tuck-4-601-724,"London, United Kingdom",Management Consulting,May 2011,Manager,Qedis,Ernst & Young,"Chris is a Manager at Qedis, aligned to the Project and Programme Leadership service line. He has a background of successfully leading teams and advising on major IT and Business Change programmes, in both the public and private sector. Chris' proven project and programme delivery skills are balanced by a strong strategic and commercial understanding.Prior to joining Qedis, Chris worked for Ernst & Young and Accenture. He joined Accenture in January 2005 in the Systems Integration & Technology practice and led workstreams across the entire project lifecycle for a major business transformation programme, at the DWP.Chris left Accenture in September 2009 to join E&Y to support the growth of their IT Advisory practice. During this time he helped NHS Direct to deliver the National Pandemic Flu Service, winning the MCA Change Management in Public Sector Award (2011) and gaining a place on the Ernst & Young ‘Accelerated Leadership Programme’.Previous to his consulting career, Chris worked for 18 months in the Financial Services sector - working with a major UK credit card company and global wealth management firm."
pub-chris-willhite-cpa-a-217-587,Dallas/Fort Worth Area,Staffing and Recruiting,March 2000,Recruiting Manager,Robert Half Finance & Accounting,Ernst & Young,"Chris.Willhite@RobertHalf.comRobert Half Finance and Accountingwww.roberthalf.com972-789-9590Robert Half Finance and Accounting is the oldest and largest search firm in America specializing in the placement of CPAs and financial professionals. We are the only search firm that is endorsed by the American Institute of Certified Public Accountants (AICPA) and the majority of our recruiters are CPAs with industry/public accounting experience. Chris Willhite is a veteran Recruiting Manager with over 10 years in the DFW job market. Prior to working for Robert Half, Chris was a Controller for a division of a public company and was a Senior at a Big 5 CPA firm in the early 1990s.Job function specialization: Staff Accountant, Senior Accountant, Financial Analyst, Controller, Director of Finance, CFO, Tax related positions.Also specialize in searches for private equity firms, hedge funds and asset management firms looking to hire investment professionals.Geographical focus: Dallas Ft. Worth metropolitan area.Career advice for finance professionals: true success comes from finding an organization where you can both utilize your strengths and enjoy the people you work with on a daily basis.Qualities sought in candidates: focus on long-term career objectives; demonstrate a track record of integrity; proven ability to get along well with others; willingness to get down into the details."
pub-christian-bustani-martinez-55-589-167,"Ciudad de México y alrededores, México",Consultoría de estrategia y operaciones,julio de 2012,Consultor,IMA (Colombia),Deloitte,Mi objetivo es Trabajar en una empresa internacional por que una empresa global implica tener grandes retos profesionales lo cual hace que el profesionista tenga que estar a la vanguardia en todas las técnicas que requiera para llevar a cabo su trabajo. Esto implica estar en constante capacitación lo cual te permite crecer profesional y personalmente.
pub-christian-nordqvist-31-993-a2b,"Helsingborg, Sweden",Företagsrådgivningsbranschen,February 2012,Business consultant,DecidoKompetensor AB,Deloitte,High performance and ambitious engineer with excellent analytical skills. Always striving for the best results and to get there as efficiently as possible. Results-oriented consultant working towards customer benefits in the first place.
pub-christian-ramme-13-766-7,"München und Umgebung, Deutschland",Venture Capital und Private Equity,Mai 2012,Senior Investment Manager,SevenVentures GmbH,Ernst & Young,"Media for Equity / Media for Revenue Share is an innovative funding concept for high-growth entrepreneurial companies which are ready to scale through marketing but need their cash to finance growth. We invest in all types of companies that will benefit from a significant marketing campaign and grow accordingly.We are constantly looking for innovative start-ups as well as non-internet companies such as smart retail franchise concepts or new brands, which want to grow in the German market."
pub-christine-konfortion-16-37a-79a,"London, United Kingdom",Accounting,February 2011,"Associate, M&A - Financial Institutions Group",HSBC,Deloitte,Member of the ICAEW (Institute of Chartered Accountants in England & Wales)
pub-christine-yu-43-695-5a4,China,Accounting,May 2009,Senior Manager of Fraud Investigation and Dispute Services,Ernst & Young (China) Advisory Limited,Ernst & Young,"Christine is a Senior Manager in Ernst & Young’s Fraud Investigation & Dispute Services (“FIDS”) China practice . Before joining in FIDS in May 2009, she worked for assurance department for over 5 years. She is currently specializing in fraud investigations, the U.S. Foreign Corrupt Practices Act (“FCPA”) compliance review and due diligence services.When working for assurance department, Christine has participated in the IPO process of many companies, including Shenzhou International Group Holdings Limited, Gemyear Industry Co., Ltd., Anhui Expressway Company Limited, and Ningbo Haitian Group Co., Ltd., etc. She has also lead or participated annual audit of several multi-national companies and listed companies.Throughout the nine years with FIDS and assurance, Christine has gained a wide range of industry experiences which involve pharmaceutical, manufacturing, textile, consumer products, power and gas, financial services etc.Christine is a Certified member of Chinese Institute of Certified Public Accountants(CICPA), and also a Certified member of Association of Certified Fraud Examiner (ACFE)."
pub-christo-batchvarov-b-7b7-967,"Frankfurt Am Main Area, Germany",Finanzdienstleistungen,March 2012,VAT Advisor EMEA,DuPont,Ernst & Young,"Continued expertise in Indirect tax and Corporate income tax. Specialized in VAT, with emphasis on Automotive, Production and Manufacturing, Retail and Distribution, Energy, Financial services sectors.Experience in provision of tax advice and tax optimization reviews, including:- Proper application of local VAT law- Compatibility with EU rules / direct effect of VAT directives- VAT implications on cross-border supply of goods and services- Tax effective supply chain management- VAT compliance reviews- VAT registrationsTax due diligence reports, health check reviews and tax audit projects:- Full scope analysis of VAT position- Control and substantive testing of tax transactions- Review of VAT reporting processes and control of ERP environment from VAT perspectiveInternational tax structuring, cross-border M&As:- VAT implications resulting from cross-border company reorganisations- Tax analysis on effective post-merger solutions for company set up- Minimising negative tax effects from upstream and downstream mergers- Benefit analysis on setting up SPVs in preferable tax jurisdictions- Tax analysis of asset deals vs. share deals and transfers of going concernERP compliance reviews:- VAT compliance reviews in SAP environment- SAP transaction mappings for VAT purposes- Reviews of implemented VAT solutions in SAP tailored to comply with country specific VAT rules- Implementation of e-invoicing solutions (EDI)Support in tax audit and tax litigation cases based on ECJ case-law argumentation.Preparation and presentation of trainings on EU indirect tax."
pub-christopher-belen-2b-4aa-4b7,"Sydney Area, Australia",Accounting,July 2012,Finance analyst,News Limited,KPMG,"During 3 years of Audit experience at KPMG, I have been exposed to a variety businesses in a variety of industries (including consumer markets, healthcare, not for profit and other service industries) auditing controls, processes and financial accounts. This has given me extensive knowledge over their processes and controls and an in depth understanding of their respective businesses. My goal is to utilise the understanding and skills I have developed into a commercial setting in order to help a company in their processes and help them grow."
pub-christopher-l-gonzalez-4-912-a95,Greater New York City Area,Information Technology and Services,June 2010,"Sr. Systems Engineer - Citrix XenApp, VMWare & Sharepoint Architect",NG Virtual Solutions Inc.,KPMG,"Senior Systems Engineer/Architect with over 20 years experience with Administration, Engineering, Development and Project Management. A proven track record with implementing strategic IT initiatives that improve business functionality. My many years as a Systems Engineer and project manager have taught me to lead and motivate teams to maximize productivity. I am a technology savvy self-starter, adept at moving into new environments, extrapolate from existing experience to quickly adapt to new technologies fluently and quickly. I possess first-rate communications and collaboration skills to lead and work in concert with diverse groups effectively.Certifications:- MCITP Server Administrator 2008- MCSA 2003, MCSE 2003- Websphere 6.1 Certified.- MCTS Microsoft Windows SharePoint Server 2007- MCTS SharePoint Services 3.0- VCPi3- VCP4View my Microsoft transcript:https://mcp.microsoft.com/authenticate/validatemcp.aspxTranscript ID: 955338Access Code: 1qaz2wsxGoals:- MCTS 2008, MCSE to MCITP Server Engineer Upgrade in progress.- Security (CISSP)- MCTS - Configuring SharePoint 2010Skills:* XML, XSLT, .NET, ASP.NET, SharePoint Designer 2007, 2010"
pub-christopher-levy-14-650-9b1,"Melbourne Area, Australia",Hospitality,2011,Hospitality Operations Manager,Prahran Mission,PwC,After gathering a wealth of experience in hospitality operations and people development my personal purpose in life is to be someone who facilitates people's professional and personal development by helping them achieve their own goals and exceed their potential.
pub-cipriano-rivera-bravo-25-985-898,"Madrid y alrededores, España",Banca,mayo de 2002,Jefe Soporte Riesgo Operacional,CECA,Ernst & Young,"Experto en todo lo relacionado con los procesos de control interno y cumplimiento normativo, incluyendo la formación de equipos de trabajo."
pub-claire-beaumont-15-512-349,"London, United Kingdom",Financial Services,September 2000,Senior International Tax Manager,BDO Stoy Hayward,Ernst & Young,"Currently researching a PhD at the Institute of Advanced Legal Studies (SAS, UoL)."
pub-claire-rollason-1b-b3a-891,"London, United Kingdom",Marketing and Advertising,June 2011,Marketing and Business Development Coordinator,Baker Tilly,Ernst & Young,.
pub-clare-cassidy-1b-2b4-820,"Sydney Area, Australia",Banking,April 2010,Senior Project Manager,MLC,Ernst & Young,"I am a Senior Project Manager with over 17 years experience in the IT industry (9+ years in project management). I have worked for several of the largest organisations in the UK and Australia, across a diverse range of industries including not for profit, finance, consulting and utilities. I commenced my career as a software developer in 1994, 9 years later moving into project management. As a highly capable and results driven project manager, I have delivered a wide variety of technology and business projects on time and within budget, at times managing several in parallel within extremely tight timescales.I have•	9+ years project management experience (inc 4 years people leading and performance management experience)•	9 years full SDLC experience gained as a software developerMy project management skillset includes exceptional- organisation, critical path, risk and issue management skills gained working on time, resource and budget constrained projects- financial management skills - project budgets up to $7M- vendor management skills - managed several projects involving external resources, both onsite and virtual teams.- leadership, negotiating, influencing and communication skills gained from working on projects involving a variety of IT resources and stakeholders at all levels of the business, including those in executive positions.- stakeholder management/relationship building capabilities – as a PM my focus is always to deliver the best possible outcome for my stakeholders.Technology projects delivered to date include:Data warehouse, data migration, BI, ETL, Campaign Management, Document Management, bespoke application and interface development (inc. mainframe, Oracle and .net), packaged application deployment (inc. EMC Documentum, Oracle eBusiness suite, Peoplesoft Global Payroll)Business projects delivered to date include new visual identity rollout for Global organisation."
pub-claude-rouiller-3-b18-1b4,"Geneva Area, Switzerland",Finanzdienstleistungen,January 2010,Country Tax Manager - Switzerland,Cargill,KPMG,- Tax management & tax accounting- International tax planning & structuring- Merger & Acquisition (Tax due diligence & post deal structuring)- Negotiating with Swiss tax authorities (cantonal & federal)
pub-claudia-chelaru-b-98b-654,Romania,Contabilitate,June 2012,Financial Analyst,Continental Automotive Romania SRL,KPMG,My professional goal is to use my skills in the best possible way for achieving the company’s goals that will lead to a lasting relationship in the field of finance/audit.
pub-claudia-ribeiro-37-752-4b6,"Rio de Janeiro, Rio de Janeiro, Brasil",Seguros,março de 2012,Atuária,Austral Seguradora,PwC,"• Participação em projetos de Análise de Reservas e Passivos Atuariais no Brasil, Estados Unidos e Canadá, incluindo quatro viagens aos Estados Unidos para tais tipos de projetos, estando alocada no cliente durante esse período.• Experiência no desenvolvimento de Notas Técnicas Atuariais e Notas Técnicas de Carteira para diversas empresas.• Participação em trabalhos de Fusões e Aquisições de seguradoras, compra e venda de carteiras e privatizações.• Participação em projetos de Capital Econômico e Embedded Value.• Familiaridade com projetos envolvendo conceitos de Gestão Baseada em Risco, Solvência II.• Participação em projetos de auditoria externa para diversas seguradoras do mercado brasileiro."
pub-claus-roggensack-7-71b-a4a,San Francisco Bay Area,Telecommunications,March 2000,"Director, Information Systems",Zhone Technologies,Ernst & Young,"In depth implementation and configuration experience with top-tier ERP applications, including JD Edwards and Oracle eBusiness Suite. Exceptionally strong knowledge and over 13 years of experience with Oracle eBusiness Suite. Expert in setting up, configuring and operating Oracle Manufacturing, Financials and Service modules.Proficient in supply chain related topics and processes, including procurement, planning, manufacturing, fulfillment and distribution. Strong knowledge of product data management, new product introduction, product lifecycle management and configuration control. Academic background and strong knowledge of financial accounting and disclosure, financial analysis, and cost accounting.Over 15 years of “hands on” experience with a broad array of technical topics, including data and process modeling, data warehousing, database administration, data driven programming, complex queries, systems administration, systems analysis, design and development.Strong project management skills and experience with traditional and Agile Project Management methods, including Extreme Programming and Scrum techniques. Experienced in managing geographically dispersed teams and projects. Strong people and conflict resolution skills."
pub-clayton-rodrigo-oliveira-19-9a-b43,"Belo Horizonte y alrededores, Brasil",Contabilidade,agosto de 2012,Reporting Specialist Senior,AngloGold Ashanti,PwC,"Experiência nas áreas: contábil, tributária, auditoria, financeira, de controles internos, conversão de normas contábeis, entre outros.Dinâmico, com facilidade de interação e gestão de pessoas. Tenho perfil de liderança por carisma e possuo habilidade de comunicação/interação com todos os níveis hierárquicos.Minha principal característica é trabalho em equipe boa capacidade de concentração e transmissão de conhecimento.Disponibilidade de horário, de viagens e mobilidade geográfica.Trabalho para construir uma carreira sólida, consistente e de muito sucesso."
pub-clÃ¡udia-de-sousa-marques-b-466-808,"Lisbon Area, Portugal",Tecnologia da informação e serviços,March 2012,Practice Consultant - IT Recruitment,Novabase,Deloitte,"Recruitment and selection experience, with main focus in Information Technology profiles."
pub-clÃ©ment-sauvard-1b-4bb-7b5,"Région de Paris , France",Avocats,mars 2012,Tax intern,sanofi-aventis,Ernst & Young,Valedictorian of ISC Paris 2011
pub-colin-earp-6-779-314,"London, United Kingdom",Management Consulting,March 2008,Director - Major Capital Projects,Deloitte Australia,Ernst & Young,"To date my career has almost exclusively been with Big 4 firms, providing consulting services to a broad range of global blue chip clients within the financial services, major infrastructure, oil & gas, mining and public sectors. My specific area of expertise is leading large cross functional teams to advise and support clients in the development, delivery and governance of mega infrastructure programmes and complex multi-stakeholder mission critical projects.Whilst my career has mainly been based in the UK, I have experience of working and/or living in Europe, the Middle East, Asia and the USA.Most recently, I was asked to establish and lead the Programme Advisory Services (PAS) team for Ernst & Young Middle East (EYME). As a wholly new service offering, it was my responsibility to develop an independent and sustainable business in line with the global model. Based in the regional head office in Bahrain, the PAS Team delivered a number of engagements for $100bn+ programme across the region."
pub-conor-hickey-cpa-1a-a08-344,Greater New York City Area,Accounting,October 2012,Controller,Sagard Capital,KPMG,Level II CFA Candidate
pub-constantijn-van-geest-27-690-896,"The Hague Area, Netherlands",Management consulting,December 2002,Director / Interim manager,CIMCO Organisatieontwikkeling,KPMG,"Constantijn van Geest levert vanuit CIMCO op interim- of contractbasis bestuurlijke of managementkracht binnen de publieke sector. Zijn expertise ligt op het gebied van interim lijnmanagement, reorganisatieadvies en programmamanagement."
pub-corey-button-25-a8a-881,"Newfoundland And Labrador, Canada",Financial Services,May 2011,"Senior Manager, Tax",Grant Thornton LLP in Canada,Ernst & Young,"Chartered Accountant (CA) with over 10 years experience, including 9 years of tax experience. Strong analytical, communication and presentation skills."
pub-cornelis-dolk-2-b37-263,"Amsterdam Area, Netherlands",Voedsel en dranken,July 2011,Audit Manager Global Audit,Heineken,Ernst & Young,"// Proven track record of high quality project delivery with successful planning, coordination and execution of operational audits and financial audits for multinational companies across various industries. These industries include: wholesale, retail, commodity trade, mining, construction, technology, communication, entertainment, consumer and industrial products.// Builds and deploys high performing teams. Focus on adequate direction and supervision of the team. Enjoys providing on-the-job training and encourages personal development through timely feedback and coaching.// Practical experience with working in Financial Shared Service Centre environments.// Manager with over ten years experience in providing professional assurance and advisory services to a broad range of multinational companies."
pub-craig-colarossi-b-eng-pmp-13-727-a1b,"Toronto, Canada Area",Management Consulting,June 2010,"Manager, Program & Project Services",PricewaterhouseCoopers (PwC),Deloitte,"Craig is a Manager in PwC’s Program and Project Services practice with over 13 years experience in information technology and project management with an emphasis in banking. He has extensive experience working with organizations to plan, execute, and deliver results for complex transformation programs involving business process and technology. Craig has developed a specialty in establishing the structure, plans, and control processes for large programs through a unique combination of hands-on project management roles and program advisory.Craig has intimate knowledge of standards such as PMBOK, ITIL, CMMI, RUP, and CoBIT. He has a Bachelor of Engineering degree from the University of Waterloo and is a PMI Certified Project Management Professional (PMP)"
